La orden del cliente: C117 - Con descripcion Food{description='Asado', serviceTime=117} ingreso en el tiempo: 117
La orden del cliente: C121 - Con descripcion Food{description='Empanadas', serviceTime=121} ingreso en el tiempo: 121
La orden del cliente: C122 - Con descripcion Food{description='Hamburguesa', serviceTime=122} ingreso en el tiempo: 122
La orden del cliente: C119 - Con descripcion Food{description='Pizza', serviceTime=119} ingreso en el tiempo: 119
La orden del cliente: C118 - Con descripcion Food{description='Hamburguesa', serviceTime=118} ingreso en el tiempo: 118
La orden del cliente: C123 - Con descripcion Food{description='Pizza', serviceTime=123} ingreso en el tiempo: 123
La orden del cliente: C124 - Con descripcion Food{description='Hamburguesa', serviceTime=124} ingreso en el tiempo: 124
La orden del cliente: C125 - Con descripcion Food{description='Pizza', serviceTime=125} ingreso en el tiempo: 125
La orden del cliente: C120 - Con descripcion Food{description='Hamburguesa', serviceTime=120} ingreso en el tiempo: 120
La orden del cliente: C128 - Con descripcion Food{description='Hamburguesa', serviceTime=128} ingreso en el tiempo: 128
La orden del cliente: C126 - Con descripcion Food{description='Asado', serviceTime=126} ingreso en el tiempo: 126
La orden del cliente: C129 - Con descripcion Food{description='Asado', serviceTime=129} ingreso en el tiempo: 129
La orden del cliente: C127 - Con descripcion Food{description='Hamburguesa', serviceTime=127} ingreso en el tiempo: 127
La orden del cliente: C131 - Con descripcion Food{description='Pizza', serviceTime=131} ingreso en el tiempo: 131
La orden del cliente: C132 - Con descripcion Food{description='Hamburguesa', serviceTime=132} ingreso en el tiempo: 132
La orden del cliente: C133 - Con descripcion Food{description='Asado', serviceTime=133} ingreso en el tiempo: 133
La orden del cliente: C130 - Con descripcion Food{description='Asado', serviceTime=130} ingreso en el tiempo: 130
La orden del cliente: C134 - Con descripcion Food{description='Hamburguesa', serviceTime=134} ingreso en el tiempo: 134
La orden del cliente: C136 - Con descripcion Food{description='Empanadas', serviceTime=136} ingreso en el tiempo: 136
La orden del cliente: C135 - Con descripcion Food{description='Hamburguesa', serviceTime=135} ingreso en el tiempo: 135
La orden del cliente: C137 - Con descripcion Food{description='Empanadas', serviceTime=137} ingreso en el tiempo: 137
La orden del cliente: C139 - Con descripcion Food{description='Pizza', serviceTime=139} ingreso en el tiempo: 139
